site_id,site_code,site_name,country_code,country,latitude,longitude,source_system,source_network,source_files,source_count,coordinate_details,review_reason
NL-Hor,Hor,Horstermeer,NL,Netherlands,52.24035,5.071301,explorer_accessible,CarboEuropeIP; IMECC; GHG-Europe; InGOS,external_site_lists/EFDC_SitesList.csv; external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,14,"max_distance_km=23.52; (52.0289, 5.0675) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1 | (52.24035, 5.071301) <= external_site_lists/EFDC_SitesList.csv, external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv | (52.2404, 5.0713) <= assets/siteinfo_fluxnet2015.csv",materially conflicting coordinates were present across contributing records
NZ-Sco,Sco,Scott Farm,NZ,New Zealand,-37.46,175.22,external_docs,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv,8,"(-37.46, 175.22) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv",multiple possible candidate merges were observed: NZ-ScF
PA-BAS,BAS,Barro Colorado Island,PA,Panama,9.1565,-79.8482,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,10,"max_distance_km=0.32; (9.154, -79.848) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv | (9.1565, -79.8482) <= assets/ameriflux_site_info.csv | (9.1568, -79.8486) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv",conflicting FLUXNET-style site_ids contributed to the merged site
PDF,PDF,Palangkaraya drained forest,ID,Indonesia,-2.345,114.0364,explorer_repo_metadata,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(-2.345, 114.0364) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv",multiple possible candidate merges were observed: ID-PaD
RU-Cok,Cok,Chokurdakh,RU,Russia,70.829139,147.494278,explorer_accessible,GHG-Europe; PAGE21; TCOS-Siberia,external_site_lists/EFDC_SitesList.csv; external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,14,"max_distance_km=27.60; (70.6167, 147.883) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1 | (70.8291, 147.4943) <= assets/siteinfo_fluxnet2015.csv | (70.829139, 147.494278) <= external_site_lists/EFDC_SitesList.csv, external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv",materially conflicting coordinates were present across contributing records
RU-Ha3,Ha3,Hakasia 10 yr,RU,Russia,54.70455,90.07785,explorer_accessible,European_Fluxes,external_site_lists/EFDC_SitesList.csv; external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv,12,"max_distance_km=64.25; (54.70455, 89.07785) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1 | (54.70455, 90.07785) <= external_site_lists/EFDC_SitesList.csv, external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv",materially conflicting coordinates were present across contributing records
RU-SkP,SkP,Yakutsk Spasskaya Pad larch,RU,Russia,62.25471,129.61855,explorer_accessible,AsiaFlux;JapanFlux;PAGE21,external_site_lists/EFDC_SitesList.csv; external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/japanflux_direct_snapshot.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,16,"max_distance_km=23.32; (62.25471, 129.618543) <= external_site_lists/EFDC_SitesList.csv, external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv, assets/japanflux_direct_snapshot.csv | (62.25471, 129.61855) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv | (62.255, 129.168) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv, assets/siteinfo_fluxnet2015.csv",materially conflicting coordinates were present across contributing records
SAP,SAP,Sapporo forest meteorology research site,JP,Japan,42.986836,141.385288,explorer_repo_metadata,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(42.986836, 141.385288) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv",multiple possible candidate merges were observed: JP-Spp
SE-Ros,Ros,Rosinedal-3,SE,Sweden,64.16522,19.79074,explorer_accessible,European_Fluxes,external_site_lists/EFDC_SitesList.csv; external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/site_name_metadata.csv,12,"max_distance_km=2.71; (64.16522, 19.79074) <= assets/icos_direct_fluxnet.csv | (64.165333, 19.791417) <= external_site_lists/EFDC_SitesList.csv, external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv | (64.1725, 19.738) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv",materially conflicting coordinates were present across contributing records
TGK,TGK,Tibet Grassland Site,,,,,explorer_repo_metadata,Site metadata,assets/site_name_metadata.csv,1,,country_code could not be inferred confidently
TH-Mae,Mae,Mae Moh plantation,TH,Thailand,18.42264,99.72025,explorer_accessible,AsiaFlux;JapanFlux,external_site_lists/Towers_Stoy.csv; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/icos_direct_fluxnet.csv; assets/japanflux_direct_snapshot.csv; assets/shuttle_snapshot.csv,7,"max_distance_km=436.33; (14.589564, 98.84388) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv | (18.383333, 99.716667) <= assets/japanflux_direct_snapshot.csv | (18.42264, 99.72025) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv",materially conflicting coordinates were present across contributing records
TSE,TSE,CC-LaG Teshio Experimental Forest,JP,Japan,45.0558,142.1073,explorer_repo_metadata,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(45.0558, 142.1073) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv",multiple possible candidate merges were observed: JP-Tef
US-CS5,CS5,Central Sands Irrigated Agricultural Field,US,United States,44.1095,-89.5377,explorer_accessible,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,"max_distance_km=0.71; (44.1031, -89.5379) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv | (44.1095, -89.5377) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv",conflicting FLUXNET-style site_ids contributed to the merged site
US-CS8,CS8,Central Sands Irrigated Agricultural Field,US,United States,44.4338,-89.5364,explorer_accessible,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,9,"max_distance_km=0.76; (44.4297, -89.544) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv | (44.4338, -89.5364) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv",conflicting FLUXNET-style site_ids contributed to the merged site
US-CU4,CU4,Argonne Testbed for Multiscale Observational Science (ATMOS),US,United States,41.7015,-87.9953,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,9,"max_distance_km=0.09; (41.7015, -87.9953) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv | (41.7018, -87.9963) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv",conflicting FLUXNET-style site_ids contributed to the merged site
US-GOO,GOO,Goodwin Creek,US,United States,34.2547,-89.8735,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,12,"max_distance_km=8.88; (34.25, -89.97) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1 | (34.2547, -89.8735) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/siteinfo_fluxnet2015.csv",materially conflicting coordinates were present across contributing records
US-WI9,WI9,Young Jack pine (YJP),US,United States,46.7385,-91.0746,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,12,"max_distance_km=13.32; (46.6188, -91.0814) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1, assets/siteinfo_fluxnet2015.csv | (46.7385, -91.0746) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv",materially conflicting coordinates were present across contributing records
